H;M;M
Oe;emu/g;emu/g
H;IRM;DCD
2;0,47271;-6,2821
2;0,47154;-6,22782
6;0,47053;-6,17849
8;0,47402;-6,14632
10;0,47256;-6,10747
12;0,47213;-6,07473
14;0,47314;-6,03282
16;0,47795;-5,9995
17;0,47955;-5,95599
19;0,47576;-5,92222
21;0,47722;-5,88643
22;0,47838;-5,85005
24;0,48042;-5,81032
26;0,48115;-5,77088
28;0,48042;-5,73771
30;0,4845;-5,68692
34;0,48726;-5,65112
35;0,48886;-5,62958
37;0,49381;-5,61125
39;0,4973;-5,58287
41;0,49454;-5,56031
43;0,49832;-5,53369
45;0,50472;-5,49425
47;0,50778;-5,46471
49;0,51404;-5,43983
51;0,51564;-5,40025
56;0,52728;-5,31657
61;0,53441;-5,22271
66;0,54212;-5,13205
71;0,54692;-5,03237
76;0,55755;-4,93866
81;0,57108;-4,83213
86;0,58796;-4,74046
91;0,59698;-4,63961
96;0,60703;-4,54676
101;0,62347;-4,44445
105;0,63889;-4,35364
110;0,65869;-4,25745
116;0,67877;-4,17
121;0,68924;-4,08181
125;0,70423;-3,99886
131;0,72606;-3,90777
135;0,74309;-3,82089
140;0,76783;-3,72878
145;0,7898;-3,62881
150;0,81454;-3,54266
155;0,83229;-3,44749
160;0,85747;-3,33893
165;0,88439;-3,25191
170;0,90825;-3,15005
175;0,92557;-3,04439
180;0,95293;-2,94544
185;0,99309;-2,84227
190;1,03005;-2,74317
195;1,05916;-2,65484
200;1,09248;-2,53769
250;1,4138;-1,58744
299;1,82926;-0,5848
349;2,30992;0,39878
399;2,82274;1,35617
449;3,35446;2,22668
499;3,85186;2,99998
548;4,32596;3,69164
599;4,75119;4,28871
649;5,13522;4,80707
699;5,46919;5,24217
749;5,75965;5,61223
799;6,0063;5,91681
848;6,20639;6,18064
899;6,38175;6,38524
948;6,52858;6,56219
998;6,64703;6,73012
1099;6,80405;6,92279
1199;6,92716;7,09319
1299;7,00938;7,20656
1399;7,07035;7,27568
1499;7,11124;7,33359
1598;7,14107;7,37056
1699;7,15693;7,39064
1799;7,19055;7,41669
1899;7,21864;7,4065
1999;7,24599;7,41931
2099;7,27408;7,43037
2199;7,29328;7,42658
2298;7,30944;7,42513
2399;7,29532;7,42091
2499;7,30012;7,43691
2598;7,29794;7,43488
2699;7,30144;7,43037
2799;7,30129;7,44827
2899;7,30449;7,4602
2999;7,30478;7,46893
3498;7,28819;7,48013
3998;7,28907;7,48785
4499;7,28805;7,46529
4999;7,28077;7,46747
5498;7,28121;7,47781
5999;7,28441;7,48232
6499;7,30667;7,47693
6999;7,32806;7,4666
7499;7,34509;7,46194
8000;7,34611;7,45103
8499;7,37143;7,44608
8999;7,37027;7,45176
9500;7,3659;7,46194
10000;7,37405;7,47737
10500;7,35804;7,47242
10999;7,34364;7,48974
11500;7,34844;7,46995
12000;7,34349;7,48421
12500;7,33534;7,47751
13000;7,32894;7,47009
13500;7,31613;7,47533
14000;7,31395;7,45627
14500;7,31104;7,44259
14999;7,34393;7,45263
15499;7,37434;7,43721
15999;7,37521;7,44215
16499;7,35746;7,43837
17000;7,3563;7,40723
